Categories,Courses Name,Tenants,Difficulty Level,Course Rating,Course registered year,No.of Queries Searched
Python,Python Programming Essentials,Michigan State University,Beginner,4,2019,17
Python,Python Tricks and Hacks for Productivity,platform courses,Advanced,5,2013,36
Python,Exception Handling in Python,Ecole Polytechnique,Intermediate,4,2016,49
Python,Using Python to Interact with the Operating System,IESE Business School,Beginner,4,2020,30
Python,AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application,platform courses,Conversant,2,2019,8
Python,"Applied Plotting, Charting & Data Representation in Python",platform courses,Advanced,3,2018,42
Python,Introduction to Python,The Chinese University of Hong Kong,Conversant,3,2014,30
Python,Python Data Structures,University of Washington,Intermediate,5,2013,16
Python,Data Processing Using Python,The State University of New York,Advanced,5,2019,7
Python,Applied Text Mining in Python,Saint Petersburg State University,Advanced,5,2017,45
Python,Game Theory with Python,platform courses,Intermediate,4,2016,10
Python,"Python Project: pillow, tesseract, and opencv","University of California, Irvine",Beginner,5,2016,41
Python,Programming for Everybody (Getting Started with Python),University of Colorado System,Conversant,3,2010,45
Python,Class Creation in Object Oriented Python,Rice University,Conversant,3,2015,3694
Python,Image Compression and Generation using Variational Autoencoders in Python,platform courses,Intermediate,5,2015,30
Python,Create a Memory Puzzle Game in Python Using Pygame,University of Geneva,Advanced,3,2020,43
Python,Automating Real-World Tasks with Python,Rice University,Advanced,4,2013,26
Python,Python Programming: A Concise Introduction,"University of California, Davis",Conversant,3,2011,18
Python,Inferential Statistical Analysis with Python,Ecole Polytechnique ,Intermediate,4,2020,13
Python,Create Interactive Dashboards with Streamlit and Python,Google Cloud,Advanced,3,2016,21
Python,Python Basics: Create a Guessing Number Game from Scratch,National Research Tomsk State University,Intermediate,4,2017,28
Python,Create Your First Python Program,University of Florida,Beginner,4,2012,17
Python,Python Data Representations,platform courses,Intermediate,4,2016,35
Python,"Python Functions, Files, and Dictionaries",Google Cloud,Intermediate,4,2012,21
Python,Introduction to Natural Language Processing in Python,Johns Hopkins University,Advanced,5,2020,49
Python,Build a Machine Learning Web App with Streamlit and Python,Saint Petersburg State University,Intermediate,4,2020,33
Python,Python Geospatial Data Analysis,Universiteit Leiden,Beginner,2,2019,37
Python,Using SAS Viya REST APIs with Python and R,platform courses,Intermediate,2,2014,7
Python,COVID19 Data Analysis Using Python,The University of Edinburgh,Advanced,4,2011,16
Python,Crash Course on Python,Columbia University,Beginner,4,2018,25
Python,Image Processing with Python,Korea Advanced Institute of Science and Technology(KAIST),Conversant,4,2010,43
Python,COVID19 Data Visualization Using Python,"University of California, Irvine",Intermediate,4,2020,34
Python,Introduction to Data Science in Python,"University of California, Irvine",Intermediate,4,2020,43
Python,Analyze Box Office Data with Plotly and Python,"University of California, Irvine",Conversant,2,2012,5
