,course_name,tags,Course Rating,Difficulty_Level,user_profile,Marks,Recommendation
196,AWS Elastic BeanstalkDeploy a Python(Flask) Web Application,aw elast beanstalkdeploy a python(flask) web applicationbeginnerprofessionalpython program server log c dynam memori alloc aw elast beanstalk web type i and type ii error file shortcut .properti project web applic information-technolog cloud-computing5.095,5.0,Beginner,Professional,95,"AWS Elastic Beanstalk Build & Deploy a Node.js RESTful API,Python Dynamic HTML Web Server,Creating an AWS EC2 Autoscaling Group using Load Balancer,Docker Essentials & Building a Containerized Web Application,AWS Fundamentals Migrating to the Cloud,Web Application Technologies and Django"
69,Create an FPS Weapon in Unity (Part 1 - Revolver),creat an fp weapon in uniti (part 1 - revolver)advancedprofessionalgamif of learn project process .properti hold java annot sourc line of code e-nabl teach method parent computer-sci software-development5.093,5.0,Advanced,Professional,93,"Create an FPS Weapon in Unity (Part 3 -Damage Effects),Create an FPS Weapon in Unity (Part 2 - Firing Effects),Create UI in Unity Part 3 - Settings Menu,Create Animation Transitions in Unity (Intro to Animation 2),Create your first Java project using jGRASP,Create a User Interface in Unity Part 2 - World-Space Canvas"
27,AWS Elastic Beanstalk Build & Deploy a Node.js RESTful API,aw elast beanstalk build & deploy a node.j rest apiadvancedstudentrepresent state transfer uniform resourc locat cloud comput web applic order pair hypertext transfer protocol virtual privat server web applic program interfac switch information-technolog cloud-computing5.092,5.0,Advanced,Student,92,"AWS Fundamentals Migrating to the Cloud,RESTful API with HTTP and JavaScript,AWS Elastic BeanstalkDeploy a Python(Flask) Web Application,AWS Fundamentals Building Serverless Applications,AWS Fundamentals Going Cloud-Native,Getting Started With Application Development"
60,Change Leadership Developing Force Field Analysis in Miro,chang leadership develop forc field analysi in miroadvancedprofessionalbusi case person advertis map plan project map e-nabl chang manag write enabl busi business-strategy5.092,5.0,Advanced,Professional,92,"Change Leadership Strategic Route Analysis with Miro,Change Leadership Developing Strategic Gap Analysis in Miro,Fundamentals of Project Planning and Management,Moving to the Cloud,Capstone Project Business Technology Management,Career Success Project"
1471,Design Computing 3D Modeling in Rhinoceros with Python/Rhinoscript,design comput 3d model in rhinocero with python/rhinoscriptadvancedstudentpython program 3d model graphic design computer-aid design 3d scanner 3d reconstruct build inform model undefin variabl machin learn spacer gif computer-sci design-and-product5.091,5.0,Advanced,Student,91,"3D Model Creation with Autodesk Fusion 360,Modeling and Design for Mechanical Engineers with Autodesk Fusion 360,3D CAD Application,Asset Creation and Management,How to Design a Space-Saving Table Using SketchUp,Autodesk Certified Professional Civil 3D for Infrastructure Design Exam Prep"
1155,Digitalisation in Aeronautics,digitalis in aeronauticsadvancedprofessionalnastran unman aerial vehicl traffic simul unman aerial system industri autom system io develop aerospac engin unman vehicl system engin space station physical-science-and-engin mechanical-engineering5.089,5.0,Advanced,Professional,89,"Digitalisation in Space Research,Engineering Systems in Motion Dynamics of Particles and Bodies in 2D Motion,Advanced Engineering Systems in Motion Dynamics of Three Dimensional (3D) Motion,MBSE Model-Based Systems Engineering,Fundamentals of waves and vibrations,Nanotechnology and Nanosensors Part1"
799,Creating a Customer Service Survey Using Google Forms,creat a custom servic survey use googl formsbeginnerprofessionalaverag fare rippl effect number spreadsheet project account wholes rippl cost survey design busi leadership-and-management5.088,5.0,Beginner,Professional,88,"Introduction to Cost Accounting,Uncover the Survey Data Story with Charts in Google Sheets,Introduction to CRM with HubSpot,Management and financial accounting Know your numbers 1,Design Online Course Printables using Canva,Create a Simple Project Timeline in Google Sheets"
577,JavaScript Strings Properties and Methods,javascript string properti and methodsbeginnerstudent.properti hold project concaten ternari condit oper hold valu extract comput program text corpu text editor computer-sci mobile-and-web-development5.087,5.0,Beginner,Student,87,"JavaScript Numbers Properties and Methods,Introduction to JavaScript,JavaScript Variables and Assignment Operators,Become a JavaScript Pro with these 7 Skills,Images and Links in HTML,The Fundamentals of Computing Capstone Exam"
33,Advanced Speaking and Listening Project,advanc speak and listen projectadvancedprofessionalproject rapid serial visual present panel discuss critic think listen speech english languag languag learn present languag language-learn learning-english5.086,5.0,Advanced,Professional,86,"Presentations Speaking so that People Listen,Academic Discussions in English,Teach English Now! Second Language Listening Speaking and Pronunciation,Teach English Now! Second Language Listening Speaking and Pronunciation,Academic Listening and Note-Taking,Lesson | Get Ready for the Interview"
690,Current-Mode Control,current-mod controladvancedstudentelectron circuit simul electr engin model market manipul simul compens accuraci and precis switch power electron averag physical-science-and-engin electrical-engineering5.086,5.0,Advanced,Student,86,"Averaged-Switch Modeling and Simulation,Magnetics for Power Electronic Converters,Input Filter Design,Converter Circuits,MOS Transistors,Converter Control"
