course,user_registration_year,id_user,user_profile,region,course_level,age_band,num_of_prev_attempts,studied_credits,qualification,final_result,course_registration_in_days,course_unregistration_in_days,course_present_in_platform_in_days,module_used_by_user_in_days,total_no_of_times_module_opened,activities_engaged_wrt_modules,total_clicks,projects_completed,average_assessment_score,queries,Hrabsence,Consultations,Attedance,Tenants,Recommend_course_priority,Are_you_Happy_with_course,Projects_in_the_course,Pending_projects,Category
Data Science,2012,582536,Professional,Surrey,Intermediate,35-55,0,30,Graduate,Distinction,-156,261,417,261,58,242,957,90,93.88888889,Artificial Intelligence,38,21,Highasbence,Unacademy,Very Low,0,238,148,
Data Science,2012,582250,Professional,Cheshire,Intermediate,35-55,0,30,Graduate,Distinction,-149,261,410,261,67,326,1213,90,89.44444444,Data Science,30,20,Highasbence,Vedantu,Very High ,1,229,139,
Data Science,2012,2623263,Student,Hampshire,Intermediate,0-35,0,60,Graduate,Distinction,-134,268,402,268,191,1030,3808,80,95,Artificial Intelligence,22,13,Highasbence,Embibe,Medium,0,281,201,
Data Science,2012,585847,Professional,Buckingham,Intermediate,0-35,0,30,Graduate,Distinction,-129,261,390,261,109,481,1967,80,91.625,Machine learning,22,13,Highasbence,Toppr,High,0,285,205,
Data Science,2012,584969,Professional, Oxfordshire,Intermediate,35-55,0,30,Graduate,Distinction,-120,261,381,261,53,241,964,90,92.77777778,Python,30,20,Highasbence,Brainly,Low,1,213,123,
Data Science,2012,583664,Professional, Oxfordshire,Conversant,0-35,0,30,Graduate,Distinction,-116,261,377,261,54,243,775,90,86.11111111,Data Science,32,2,Highasbence,Class Plus,Very Low,0,295,205,
Data Science,2012,584143,Student,Norfolk,Intermediate,0-35,0,60,Graduate,Distinction,-116,261,377,261,128,550,2009,90,82.22222222,Artificial Intelligence,30,19,Highasbence,EduKart,Very High ,1,230,140,
Data Science,2012,2619025,Student,Norfolk,Beginner,0-35,0,90,Post Graduate,Distinction,-114,268,382,268,66,407,2218,80,86,Data Science,32,2,Highasbence,WizIQ,Medium,0,240,160,
Data Science,2013,167791,Student,Norfolk,Beginner,35-55,0,60,Graduate,Distinction,-109,241,350,241,72,320,1225,80,88.75,Artificial Intelligence,21,28,Highasbence,Udemy,High,0,275,195,
Data Science,2012,582709,Professional,Yorkshire Region,Intermediate,35-55,0,30,Graduate,Distinction,-102,261,363,261,27,118,509,70,82.85714286,Machine learning,30,14,Highasbence,Coursera,Low,1,242,172,
Data Science,2012,587330,Student,Norfolk,Beginner,0-35,0,30,Graduate,Distinction,-102,261,363,261,44,173,653,90,91.88888889,Python,21,16,Highasbence,Byjus,Very Low,1,283,193,
Data Science,2014,155484,Professional,Surrey,Intermediate,35-55,0,120,Graduate,Distinction,-93,262,355,262,140,610,2092,83,76.6,Data Science,30,14,Highasbence,Unacademy,Very High ,1,261,178,
Data Science,2012,586324,Professional,Yorkshire Region,Intermediate,0-35,0,30,Graduate,Distinction,-87,261,348,261,84,397,1239,90,93.11111111,Artificial Intelligence,30,12,Highasbence,Vedantu,Medium,1,254,164,
Data Science,2014,150398,Professional,Norfolk,Intermediate,0-35,0,60,Post Graduate,Distinction,-77,262,339,262,140,562,2129,83,70,Data Science,30,33,Highasbence,Embibe,High,0,242,159,
Data Science,2013,244977,Student, Oxfordshire,Beginner,0-35,0,60,Graduate,Distinction,-72,241,313,241,83,440,1754,80,93,Artificial Intelligence,30,14,Highasbence,Toppr,Low,1,257,177,
Data Science,2013,627620,Student,Buckingham,Advanced,0-35,0,60,Graduate,Distinction,-68,241,309,241,103,885,3909,92,86.91666667,Machine learning,38,12,Highasbence,Brainly,Very Low,0,211,119,
Data Science,2013,627717,Professional,Scotland,Advanced,0-35,0,90,Graduate,Distinction,-68,241,309,241,97,616,3226,92,94.75,Python,30,14,Highasbence,Class Plus,Very High ,0,207,115,
Data Science,2013,628157,Professional,Scotland,Intermediate,0-35,0,30,Graduate,Distinction,-66,241,307,241,94,503,1702,90,94.44444444,Data Science,26,10,Highasbence,EduKart,Medium,1,210,120,
Data Science,2012,584509,Professional,Buckingham,Advanced,0-35,0,30,Graduate,Distinction,-66,261,327,261,139,624,2174,90,93.33333333,Artificial Intelligence,32,2,Highasbence,WizIQ,High,0,250,160,
Data Science,2013,628216,Student,Norfolk,Advanced,0-35,0,60,Post Graduate,Distinction,-65,241,306,241,112,442,921,100,79.14285714,Data Science,38,12,Highasbence,Udemy,Low,0,253,153,
Data Science,2013,627521,Professional,Surrey,Advanced,0-35,0,60,Graduate,Distinction,-64,241,305,241,113,613,2443,92,82.41666667,Artificial Intelligence,22,13,Highasbence,Coursera,Very Low,1,221,129,
Data Science,2013,628806,Student,Hampshire,Beginner,0-35,0,60,Graduate,Distinction,-61,241,302,241,150,967,2632,71,93.4,Machine learning,38,12,Highasbence,Byjus,Very High ,0,237,166,
Data Science,2013,629452,Student,Scotland,Advanced,35-55,0,60,Graduate,Distinction,-57,241,298,241,187,1024,2967,100,88.57142857,Python,21,16,Highasbence,Unacademy,Medium,0,277,177,
Data Science,2014,280152,Professional,Yorkshire Region,Advanced,0-35,0,60,Graduate,Distinction,-53,262,315,262,79,458,1585,83,68.2,Data Science,21,25,Highasbence,Vedantu,High,0,284,201,
Data Science,2013,628575,Student,Scotland,Advanced,0-35,0,90,Graduate,Distinction,-50,241,291,241,55,264,508,100,66.57142857,Artificial Intelligence,30,19,Highasbence,Embibe,Low,1,203,103,
Data Science,2013,35508,Student,Norfolk,Intermediate,0-35,0,30,Graduate,Distinction,-50,241,291,241,106,593,2270,80,93.5,Data Science,21,28,Highasbence,Toppr,Very Low,1,207,127,
Data Science,2012,587362,Student,Cheshire,Intermediate,0-35,0,60,Graduate,Distinction,-49,261,310,261,60,308,975,90,87.77777778,Artificial Intelligence,38,12,Highasbence,Brainly,Very High ,0,238,148,
Data Science,2013,628915,Professional,Wales,Intermediate,35-55,0,60,Graduate,Distinction,-47,241,288,241,190,1120,3001,100,89.85714286,Machine learning,38,21,Highasbence,Class Plus,Medium,0,276,176,
Data Science,2013,291674,Professional,Leicester,Beginner,0-35,1,60,Graduate,Distinction,-47,241,288,241,78,541,1989,80,95.75,Python,32,2,Highasbence,EduKart,High,1,280,200,
Data Science,2013,627253,Student,Scotland,Intermediate,0-35,0,60,Graduate,Distinction,-45,241,286,241,53,241,915,90,89,Data Science,30,12,Highasbence,WizIQ,Low,1,207,117,
Data Science,2013,630012,Student,Hampshire,Intermediate,0-35,0,60,Graduate,Distinction,-44,241,285,241,44,261,1171,50,92.4,Artificial Intelligence,21,16,Highasbence,Udemy,Very Low,1,290,240,
Data Science,2013,627322,Student, Oxfordshire,Beginner,0-35,0,60,Graduate,Distinction,-44,241,285,241,133,816,1892,100,85.14285714,Data Science,30,19,Highasbence,Coursera,Very High ,0,254,154,
Data Science,2013,627067,Student,Wales,Intermediate,0-35,0,60,Graduate,Distinction,-44,241,285,241,106,804,3646,92,76.16666667,Artificial Intelligence,26,10,Highasbence,Byjus,Medium,1,237,145,
Data Science,2013,627397,Student,Yorkshire Region,Intermediate,0-35,0,60,Graduate,Distinction,-40,241,281,241,61,480,1295,100,86.85714286,Machine learning,38,21,Highasbence,Unacademy,High,0,207,107,
Data Science,2014,169400,Professional,London ,Intermediate,0-35,0,120,Graduate,Distinction,-39,262,301,262,63,273,1208,83,89.8,Python,30,14,Highasbence,Vedantu,Low,0,242,159,
Data Science,2012,583623,Professional,Buckingham,Advanced,0-35,0,30,Graduate,Distinction,-35,261,296,261,26,114,364,80,84.75,Data Science,38,12,Highasbence,Embibe,Very Low,1,276,196,
Data Science,2013,627536,Student,Surrey,Beginner,0-35,0,60,Graduate,Distinction,-34,241,275,241,32,176,450,71,81.6,Artificial Intelligence,30,33,Highasbence,Toppr,Very High ,1,210,139,
Data Science,2011,1436558,Student,Hampshire,Advanced,35-55,0,60,Graduate,Distinction,-34,240,274,240,134,902,3058,92,87.25,Data Science,30,12,Highasbence,Brainly,Medium,1,299,207,
Data Science,2012,2657915,Student,Surrey,Advanced,35-55,0,60,Graduate,Distinction,-31,268,299,268,97,380,1664,80,88.5,Artificial Intelligence,32,2,Highasbence,Class Plus,High,1,282,202,
Data Science,2013,626862,Student,Cheshire,Intermediate,0-35,0,60,Graduate,Distinction,-29,241,270,241,139,694,2123,50,92.6,Machine learning,32,2,Highasbence,EduKart,Low,1,244,194,
Data Science,2013,626417,Student,Buckingham,Intermediate,0-35,0,90,Graduate,Distinction,-29,241,270,241,80,318,687,100,80.42857143,Python,26,10,Highasbence,WizIQ,Very Low,1,227,127,
Data Science,2013,626450,Student,Hampshire,Beginner,35-55,0,60,Graduate,Distinction,-29,241,270,241,115,837,2145,100,88.85714286,Data Science,30,20,Highasbence,Udemy,Very High ,0,215,115,
Data Science,2013,629696,Student,Surrey,Intermediate,0-35,0,90,Graduate,Distinction,-28,241,269,241,89,500,1046,100,64,Artificial Intelligence,30,14,Highasbence,Coursera,Medium,1,228,128,
Data Science,2013,627136,Student,Wales,Intermediate,0-35,0,60,Graduate,Distinction,-25,241,266,241,71,319,1263,90,93.33333333,Data Science,21,16,Highasbence,Byjus,High,0,265,175,
Data Science,2011,559004,Student,Leicester,Intermediate,0-35,0,60,Graduate,Distinction,-22,240,262,240,150,877,2554,92,81.66666667,Artificial Intelligence,21,25,Highasbence,Unacademy,Low,1,252,160,
Data Science,2013,256867,Student,London ,Intermediate,35-55,0,30,Graduate,Distinction,-17,241,258,241,78,370,1913,80,87.25,Machine learning,26,10,Highasbence,Vedantu,Very Low,0,202,122,
Data Science,2014,247457,Professional,Yorkshire Region,Intermediate,0-35,0,60,Graduate,Distinction,-12,262,274,262,81,296,1010,83,86,Python,30,20,Highasbence,Embibe,Very High ,0,298,215,
Data Science,2014,114402,Professional,Singapore,Intermediate,0-35,0,90,Post Graduate,Distinction,-9,262,271,262,70,238,1123,83,87.6,Data Science,21,28,Highasbence,Toppr,Medium,0,242,159,
Data Science,2013,231339,Professional,London ,Advanced,0-35,0,60,Graduate,Distinction,-1,241,242,241,85,605,2213,80,91.5,Artificial Intelligence,30,19,Highasbence,Brainly,High,1,206,126,
Data Science,2012,508028,Professional,Hampshire,Advanced,35-55,0,60,Graduate,Pass,-194,268,462,268,88,441,1330,83,87.6,Data Science,8,14,Lowasbence,Class Plus,Low,1,225,142,
Data Science,2013,197730,Student,Buckingham,Intermediate,35-55,1,100,Graduate,Pass,-177,241,418,241,67,259,1035,60,83.33333333,Artificial Intelligence,13,20,Lowasbence,EduKart,Very Low,0,244,184,
Data Science,2014,123087,Professional,Scotland,Advanced,0-35,0,120,Graduate,Pass,-162,262,424,262,36,150,470,83,74,Machine learning,30,19,Highasbence,WizIQ,Very High ,0,240,157,
Data Science,2014,260137,Student,Scotland,Advanced,0-35,0,60,Graduate,Pass,-160,262,422,262,95,360,1030,83,79.6,Python,20,12,Lowasbence,Udemy,Medium,1,223,140,
Data Science,2014,192944,Professional,Norfolk,Beginner,35-55,0,60,Graduate,Pass,-154,262,416,262,79,361,1269,83,61,Data Science,16,23,Lowasbence,Coursera,High,0,239,156,
Data Science,2014,276925,Professional,Hampshire,Intermediate,35-55,1,60,Graduate,Pass,-154,262,416,262,30,137,707,83,60.6,Artificial Intelligence,38,21,Highasbence,Byjus,Low,0,258,175,
Data Science,2014,275006,Professional,Norfolk,Intermediate,0-35,2,60,Graduate,Pass,-149,262,411,262,39,201,579,83,75.8,Data Science,30,33,Highasbence,Unacademy,Very Low,1,243,160,
Data Science,2014,285470,Professional,Surrey,Beginner,0-35,0,180,Graduate,Pass,-149,262,411,262,13,69,142,50,87,Artificial Intelligence,21,28,Highasbence,Vedantu,Very High ,0,259,209,
Data Science,2014,195940,Professional,London ,Advanced,0-35,0,60,Graduate,Pass,-144,262,406,262,25,158,381,83,55,Machine learning,6,31,Lowasbence,Embibe,Medium,0,288,205,
Data Science,2014,117544,Professional,Leicester,Advanced,35-55,0,60,Graduate,Pass,-141,262,403,262,136,682,2580,83,70.2,Python,12,14,Lowasbence,Toppr,High,0,249,166,
Data Science,2011,1689730,Student,Norfolk,Intermediate,35-55,1,120,Graduate,Pass,-140,240,380,240,52,461,1688,54,88,Data Science,20,48,Lowasbence,Brainly,Low,1,244,190,
Data Science,2012,586337,Professional,Norfolk,Beginner,0-35,0,30,Graduate,Pass,-136,261,397,261,42,213,1005,90,87.77777778,Artificial Intelligence,14,25,Lowasbence,Class Plus,Very Low,1,270,180,
Data Science,2012,587183,Professional,Cheshire,Intermediate,0-35,0,30,Graduate,Pass,-128,261,389,261,45,222,828,70,80,Data Science,16,23,Lowasbence,EduKart,Very High ,1,249,179,
Data Science,2014,145280,Professional,Cheshire,Advanced,35-55,1,60,Graduate,Pass,-116,262,378,262,36,214,662,83,62.2,Artificial Intelligence,38,21,Highasbence,WizIQ,Medium,0,220,137,
Data Science,2011,537658,Professional,Norfolk,Advanced,0-35,0,60,Graduate,Pass,-116,240,356,240,85,396,949,71,71.1,Machine learning,30,19,Highasbence,Udemy,High,1,259,188,
Data Science,2012,582420,Professional,Buckingham,Intermediate,0-35,0,30,Graduate,Pass,-116,261,377,261,47,163,624,90,90,Python,17.45,8,Lowasbence,Coursera,Low,0,290,200,
Data Science,2012,584827,Professional, Oxfordshire,Advanced,35-55,0,30,Graduate,Pass,-116,261,377,261,50,228,663,90,87.22222222,Data Science,12,15,Lowasbence,Byjus,Very Low,1,234,144,
Data Science,2012,585058,Professional, Oxfordshire,Intermediate,35-55,0,30,Graduate,Pass,-116,261,377,261,17,77,194,90,83.33333333,Artificial Intelligence,30,19,Highasbence,Unacademy,Very High ,0,242,152,
Data Science,2012,586689,Professional,Scotland,Advanced,35-55,0,30,Graduate,Pass,-115,261,376,261,44,220,901,90,79.11111111,Data Science,4,50,Lowasbence,Vedantu,Medium,0,292,202,
Data Science,2013,170936,Student,Surrey,Intermediate,35-55,0,60,Graduate,Pass,-114,241,355,241,19,120,339,60,65.66666667,Artificial Intelligence,20,12,Lowasbence,Embibe,High,1,297,237,
Data Science,2012,584710,Professional,Ireland,Advanced,0-35,0,30,Graduate,Pass,-114,261,375,261,83,353,1336,90,91.66666667,Machine learning,38,12,Highasbence,Toppr,Low,1,215,125,
Data Science,2012,584733,Professional,Scotland,Conversant,0-35,0,30,Graduate,Pass,-109,261,370,261,45,179,586,90,79.44444444,Python,22,13,Highasbence,Brainly,Very Low,0,241,151,
Data Science,2012,584942,Professional, Oxfordshire,Advanced,0-35,0,30,Graduate,Pass,-109,261,370,261,48,221,686,90,91.66666667,Data Science,12,42,Lowasbence,Class Plus,Very High ,1,249,159,
Data Science,2012,586639,Student,Buckingham,Advanced,0-35,0,30,Graduate,Pass,-109,261,370,261,53,236,613,80,88.375,Artificial Intelligence,16,23,Lowasbence,EduKart,Medium,0,299,219,
Data Science,2014,169008,Student,Hampshire,Intermediate,35-55,0,60,Graduate,Pass,9,262,271,262,40,234,910,83,61.2,Data Science,20,12,Lowasbence,WizIQ,High,0,252,169,
Data Science,2014,126769,Professional,Scotland,Advanced,0-35,1,60,Graduate,Pass,-107,262,369,262,85,351,1362,83,60,Artificial Intelligence,30,33,Highasbence,Udemy,Low,0,206,123,
Data Science,2014,265466,Professional,Scotland,Intermediate,35-55,1,60,Graduate,Pass,17,262,279,262,89,384,1168,67,76.25,Machine learning,21,25,Highasbence,Coursera,Very Low,0,236,169,
Data Science,2012,583625,Professional,Buckingham,Intermediate,35-55,0,30,Graduate,Pass,-107,261,368,261,4,68,162,80,76.875,Python,16,23,Lowasbence,Byjus,Very High ,0,200,120,
Data Science,2014,263448,Professional,Hampshire,Intermediate,0-35,0,60,Graduate,Pass,-102,262,364,262,59,351,1625,83,78.4,Data Science,30,20,Highasbence,Unacademy,Medium,0,276,193,
Data Science,2012,585702,Professional, Oxfordshire,Advanced,0-35,0,30,Graduate,Pass,-102,261,363,261,26,116,394,70,78.57142857,Artificial Intelligence,30,14,Highasbence,Vedantu,High,1,206,136,
